denuncia_fecha,denuncia_tipo_explotacion,denuncia_via_ingreso,denunciante_tipo_acercamiento,hecho_localidad,hecho_provincia,hecho_pais,hecho_denuncia_previa,derivacion_judicializacion_organismo,derivacion_judicializacion_fecha
2017-01-20,Explotación sexual,Línea 145,Otros,Caba,Caba,Argentina,,Área legal (judicializadas),2017-01-21
2017-01-20,Desaparición,Correo institucional,Sin datos,FLORESTA,Caba,Argentina,,Área legal (judicializadas),2017-01-20
2017-01-20,Explotación sexual,Línea 145,Sin datos,VILLA GENERAL RAMOS - ROSARIO,Santa Fe,Argentina,,Protex,2017-01-20
2017-01-20,Desaparición,Línea 145,Sin datos,GENERAL ENRIQUE MOSCONI DEPARTAMENTO SAN MARTIN,Salta,Argentina,Sí,Protex,2017-01-20
2017-01-20,Posible captación,Línea 145,Otros,GUAYMALLÉN ,Mendoza,Argentina,,PNA Área legal para judicializar ,2017-01-20
2017-01-20,Posible captación,Línea 145,Otros,GODOY CRUZ- MENDOZA,Mendoza,Argentina,Sí,PNA Área legal para judicializar - Fuerzas de seguridad federales,2017-01-20
2017-01-20,Desaparición,Línea 145,ONG – Org Nacionales,LA PLATA ,Buenos Aires,Argentina,,Protex - Fuerzas de seguridad federales,2017-01-20
2017-01-20,Explotación sexual,Línea 145,Televisión,SAN CARLOS DE BARILOCHE,Río Negro,Argentina,,Protex - Fuerzas de seguridad federales,2017-01-20
2017-01-20,Explotación sexual,Línea 145,Sin datos,MENDOZA,Mendoza,Argentina,Sí, PNA Área legal para judicializar - Fuerzas de seguridad federales,2017-01-20
2017-01-21,Explotación sexual,Línea 145,Televisión,GOYA,Chaco,Argentina,,Área legal (judicializadas),2017-01-21
2017-01-21,Explotación sexual,Línea 145,Internet,ROSARIO,Santa Fe,Argentina,,Protex,2017-01-21
2017-01-21,Explotación sexual,Línea 145,Internet,ROSARIO,Santa Fe,Argentina,,Protex,2017-01-21
2017-01-21,Explotación laboral,Línea 145,Sin datos,CÓRDOBA,Córdoba,Argentina,,Protex,2017-01-21
2017-01-21,Explotación sexual,Línea 145,Televisión,Caba,Caba,Argentina,,PNA Área legal para judicializar ,2017-01-21
2017-01-21,Explotación sexual,Línea 145,Sin datos,Caba,Caba,Argentina,,PNA Área legal para judicializar ,2017-01-21
2017-01-22,Explotación sexual,Línea 145,Otros,Caba,Caba,Argentina,,Área legal (judicializadas),2017-01-22
2017-01-22,Desaparición,Línea 145,Otros,ZARATE,Buenos Aires,Argentina,,Área legal (judicializadas),2017-01-24
2017-01-22,Explotación sexual,Línea 145,Televisión,ROSARIO,Santa Fe,Argentina,,Ministerio de Seguridad - Protex,2017-01-22
2017-01-22,Desaparición,Línea 145,Por contacto (boca en boca),SAN CARLOS DE BARILOCHE,Río Negro,Argentina,,Área legal (judicializadas) - Fuerzas de seguridad federales,2017-01-23
2017-01-22,Explotación sexual  - desaparición,Línea 145,Por contacto (boca en boca),SANTA FE,Santa Fe,Argentina,,Protex - Fuerzas de seguridad federales,2017-01-22
2017-01-22,Explotación sexual,Línea 145,Por contacto (boca en boca),LISANDRO OLMOS / LA PLATA,Buenos Aires,Argentina,,Protex - Seguimiento,2017-01-22
2017-01-23,Explotación sexual,Línea 145,Televisión,GENERAL RODRIGUEZ,Buenos Aires,Argentina,,Protex,2017-01-23
2017-01-23,Explotación sexual,Línea 145,Otros,MAR DEL PLATA,Buenos Aires,Argentina,,Protex,2017-01-23
2017-01-23,Explotación sexual,Línea 145,Televisión,Caba,Caba,Argentina,,PNA Área legal para judicializar ,2017-01-23
